5 [0.5860613921642304, 0.8042]
10 [0.5078262647151947, 0.8349]
5 [0.6068915322780609, 0.8009]
10 [0.5299189666986466, 0.8325]
15 [0.4926498875617981, 0.8405]
20 [0.4819188548803329, 0.8472]
25 [0.47095556433200836, 0.8485]
30 [0.49881182730197904, 0.8482]
35 [0.49862357375621796, 0.8478]
40 [0.45517832849025724, 0.8582]
45 [0.44043881516456607, 0.866]
50 [0.49976466896533966, 0.8511]
55 [0.45513623900413513, 0.8636]
60 [0.44439919046163556, 0.8668]
65 [0.44913141319751737, 0.8694]
70 [0.42691779724359513, 0.8744]
75 [0.444469731926918, 0.869]
80 [0.44178023228645324, 0.8706]
85 [0.4234903084874153, 0.8796]
90 [0.497269767332077, 0.8604]
95 [0.4466328032612801, 0.8716]
100 [0.43310649819374086, 0.8762]
105 [0.4613388527750969, 0.8718]
110 [0.4193193440377712, 0.8801]
115 [0.4813140060067177, 0.8658]
120 [0.45650124344825743, 0.8724]
125 [0.44456237879991534, 0.8761]
130 [0.461455470341444, 0.8748]
135 [0.4258696408689022, 0.8842]
140 [0.42472032690048217, 0.883]
145 [0.46522405335903166, 0.8729]
150 [0.4560769983947277, 0.877]
155 [0.4844131706595421, 0.8691]
160 [0.43569576932787896, 0.8815]
165 [0.4648326047539711, 0.8815]
170 [0.46717597278654577, 0.8797]
175 [0.5392616152286529, 0.8655]
180 [0.4575620021045208, 0.8808]
185 [0.43037061191797255, 0.8857]
190 [0.44153474957048894, 0.8855]
195 [0.46311773098111153, 0.8752]
200 [0.46386078484654425, 0.8773]
205 [0.47660576520860193, 0.8783]
210 [0.4612134364426136, 0.8839]
215 [0.46900307961404325, 0.8821]
220 [0.44823318796753886, 0.8795]
225 [0.45159105051755905, 0.8819]
230 [0.442406337839365, 0.8855]
235 [0.4666584196895361, 0.8812]
240 [0.448387422978878, 0.8858]
245 [0.46802388865947725, 0.8852]
250 [0.4706187840551138, 0.8846]
255 [0.44555608007907865, 0.889]
260 [0.5345581163406372, 0.8695]
265 [0.45246928840577605, 0.8886]
270 [0.458625060403347, 0.8889]
275 [0.4321017102777958, 0.8888]
280 [0.5240972373485565, 0.8719]
285 [0.4870863168954849, 0.8828]
290 [0.48423493322730066, 0.8823]
295 [0.4682780800282955, 0.8879]
300 [0.481928570535779, 0.8851]
305 [0.5403067723751068, 0.8713]
310 [0.48901263064146044, 0.8847]
315 [0.5003802024841308, 0.8843]
320 [0.5189710347115993, 0.8808]
325 [0.4850236879110336, 0.8862]
330 [0.4730130330979824, 0.8873]
335 [0.47009484385252, 0.8888]
340 [0.4809031928986311, 0.8885]
345 [0.4906909273505211, 0.8861]
350 [0.5328789141148329, 0.8805]
355 [0.5263654277086258, 0.881]
360 [0.4907352216243744, 0.8867]
365 [0.4825445478275418, 0.8926]
370 [0.49077698214054105, 0.8897]
375 [0.502846521410346, 0.8842]
380 [0.5002699575781823, 0.8887]
385 [0.5396927456438542, 0.8782]
390 [0.5134315053045749, 0.8836]
395 [0.5225421805799008, 0.8777]
400 [0.5083462519615889, 0.8854]
405 [0.509743039931357, 0.8879]
410 [0.5349541766524315, 0.8842]
415 [0.5527580962181091, 0.8835]
420 [0.5177394420146942, 0.8842]
425 [0.5439154811188579, 0.8795]
430 [0.5125573783814907, 0.8853]
435 [0.5578964538753033, 0.8794]
440 [0.48719343784600494, 0.8913]
445 [0.5049414264142513, 0.8884]
450 [0.5117206829994917, 0.885]
455 [0.5131308411747217, 0.8862]
460 [0.5388086808890105, 0.8838]
465 [0.49935755649209024, 0.8892]
470 [0.5195453859999776, 0.8898]
475 [0.5474451533675194, 0.8816]
480 [0.5577919411897659, 0.8808]
485 [0.5145786526372657, 0.8914]
490 [0.5325472678422928, 0.8879]
495 [0.4851657055780292, 0.8947]
500 [0.5355393002003431, 0.8871]
505 [0.5160558234229684, 0.8894]
510 [0.5836023624807596, 0.883]
515 [0.550544092977792, 0.8841]
520 [0.5488515351474285, 0.8856]
525 [0.5378835753202439, 0.888]
530 [0.5248697510167957, 0.8931]
535 [0.5698680987298489, 0.8808]
540 [0.5572543907612563, 0.8878]
545 [0.5603589974820614, 0.8802]
550 [0.5387617457449436, 0.8876]
555 [0.5652412131749094, 0.887]
560 [0.5605336396843195, 0.8877]
565 [0.5634475360326469, 0.8854]
570 [0.5902530516803265, 0.8826]
575 [0.5255038128226995, 0.8903]
580 [0.5930656667679548, 0.8785]
585 [0.5758353891521693, 0.8795]
590 [0.5638124156951905, 0.8821]
595 [0.5625674214601517, 0.8863]
600 [0.5759280946910381, 0.8854]
605 [0.5810534482300281, 0.8858]
610 [0.5333547099664807, 0.8915]
615 [0.6251699928373098, 0.8737]
620 [0.5726240835264325, 0.8854]
625 [0.5672390467733145, 0.8866]
