5 [0.17632606014460325, 0.9492]
10 [0.28097300442755224, 0.9344]
15 [0.29185364563465116, 0.9368]
20 [0.35481041601418983, 0.9404]
25 [0.34201751762057536, 0.945]
30 [0.35293472085195826, 0.9481]
35 [0.42657628980198203, 0.9463]
40 [0.4149052542421661, 0.9525]
45 [0.4273195595533432, 0.9556]
50 [0.47358597889513987, 0.9505]
55 [0.5789792427723172, 0.9459]
60 [0.5056645421517272, 0.9517]
65 [0.5451945297120936, 0.9526]
70 [0.5694941482893131, 0.9519]
75 [0.6533311774952625, 0.9513]
80 [0.6766822337743191, 0.9495]
85 [0.6864160641293251, 0.9503]
90 [0.790489446818002, 0.9442]
95 [0.6924863492689656, 0.9505]
100 [0.6831628518676761, 0.9482]
105 [0.8611036793797557, 0.9502]
110 [0.7955822703881691, 0.954]
115 [0.8400008264559088, 0.957]
120 [0.8763276169929053, 0.955]
125 [1.1346473415437366, 0.9428]
130 [1.8245806743275272, 0.9214]
135 [0.8578794659846398, 0.9549]
140 [1.1699551807865476, 0.9501]
145 [0.9418860739403097, 0.9597]
150 [0.9452874986028779, 0.9601]
155 [1.1379855535567642, 0.9471]
160 [1.1108659696130911, 0.9508]
165 [0.9672791316813618, 0.9588]
170 [1.1094212280381648, 0.9509]
175 [1.6076997401845685, 0.9316]
180 [1.062903170866819, 0.9589]
185 [1.2269187852688657, 0.9488]
190 [1.2696090931094959, 0.9519]
195 [1.2734534604021464, 0.9538]
200 [1.5968830253331987, 0.942]
205 [1.2361349942093214, 0.9564]
210 [1.4132938107962139, 0.9518]
215 [1.1416868707631653, 0.9578]
220 [1.1376093409473058, 0.9579]
225 [1.137510871420905, 0.9592]
230 [1.3989684896383774, 0.9461]
235 [1.5318909655896225, 0.9497]
240 [1.5234246827111193, 0.9525]
245 [1.42522163942076, 0.9526]
250 [1.4411580145051854, 0.9515]
255 [1.6621043000449411, 0.9476]
260 [1.729391614378307, 0.9499]
265 [1.5513455583709317, 0.9552]
270 [1.481524605155117, 0.962]
275 [1.4658616618479923, 0.9624]
280 [1.452141333532827, 0.9621]
285 [1.4463475655893538, 0.962]
290 [1.4396912228028056, 0.9624]
295 [1.436247115723668, 0.9623]
300 [1.4345504515647216, 0.9617]
305 [1.4331278309879008, 0.9616]
310 [1.431859862574246, 0.9615]
315 [1.4308154328768492, 0.9615]
320 [1.4297386673354908, 0.9615]
325 [1.4286202322528248, 0.9614]
330 [1.4276010963319714, 0.9615]
335 [1.4265017412683527, 0.9613]
340 [1.4253924217481875, 0.9613]
345 [1.4242945092927373, 0.9612]
350 [1.4231864777095482, 0.9612]
355 [1.4221341668597158, 0.9611]
360 [1.421135310151978, 0.961]
365 [1.4200801551609599, 0.961]
370 [1.4190728638396963, 0.9611]
375 [1.418076297067155, 0.9611]
380 [1.417091109471357, 0.9611]
385 [1.416142494598775, 0.961]
390 [1.415223863063103, 0.9609]
395 [1.4142840605377587, 0.9609]
400 [1.413365417986342, 0.961]
405 [1.4124580238445494, 0.961]
410 [1.4114903622952175, 0.961]
415 [1.4106431949981333, 0.9607]
420 [1.409766767240729, 0.9606]
425 [1.4088973248101757, 0.9605]
430 [1.408053540500709, 0.9605]
435 [1.4071988311989903, 0.9606]
440 [1.4063674560138368, 0.9606]
445 [1.405550468198194, 0.9607]
450 [1.4047223232378163, 0.9607]
455 [1.403906852851348, 0.9608]
460 [1.4030979978355838, 0.9608]
465 [1.4023075658906508, 0.9608]
470 [1.4015132908322658, 0.9608]
475 [1.400728130404015, 0.9608]
480 [1.3999746289170543, 0.9608]
485 [1.3992216418729821, 0.9608]
490 [1.3984706518140952, 0.9607]
495 [1.3977516309538904, 0.9607]
500 [1.3970302161387802, 0.9607]
