5 [0.5443758163452148, 0.8304]
10 [0.4379774845957756, 0.8814]
15 [0.48624472858905793, 0.8626]
20 [0.4816273600816727, 0.8699]
25 [0.5291735644817352, 0.8567]
30 [0.5400780282437802, 0.8674]
35 [0.5653414025902748, 0.8617]
40 [0.603293995475769, 0.8388]
45 [0.5230937730312347, 0.8823]
50 [0.6107059579849243, 0.8506]
55 [0.5982595015645027, 0.8628]
60 [0.631507602918148, 0.8508]
65 [0.626228925549984, 0.8621]
70 [0.5975987158954144, 0.8628]
75 [0.6534078386425972, 0.8558]
80 [0.5947683370530605, 0.8682]
