5 [1.1865691360473634, 0.5851]
10 [1.1788171083450318, 0.5619]
15 [1.1828968463897704, 0.6022]
20 [1.133700216293335, 0.6065]
25 [1.2464196495056152, 0.556]
30 [1.1258273677825927, 0.635]
35 [1.0698136487960817, 0.6443]
40 [1.108070855140686, 0.5908]
45 [1.147815027809143, 0.606]
50 [1.0959906070709229, 0.6496]
55 [1.087919658088684, 0.6382]
60 [1.1402019170761108, 0.6208]
65 [1.418836834526062, 0.4889]
70 [1.0808470653533935, 0.6242]
75 [1.1724337409973145, 0.6297]
80 [1.2276680835723877, 0.6481]
85 [1.0868245727539063, 0.6381]
90 [1.1886163080215455, 0.6351]
95 [1.1449722787857055, 0.6169]
100 [1.1617629674911498, 0.6137]
105 [1.1590817136764526, 0.6436]
110 [1.151904288482666, 0.6414]
115 [1.1971173402786255, 0.6411]
120 [1.0958029627799988, 0.6262]
125 [1.1976441280364991, 0.6155]
130 [1.1067251956939697, 0.6433]
135 [1.1090841514587402, 0.6241]
140 [1.260264983177185, 0.632]
145 [1.2148931953430175, 0.5919]
150 [1.170842292022705, 0.6475]
155 [1.0931931972503661, 0.6453]
160 [1.0957288688659668, 0.6489]
165 [1.156842908859253, 0.6466]
170 [1.166405944442749, 0.6402]
175 [1.241098413848877, 0.5425]
180 [1.09193253326416, 0.6302]
185 [1.1725804553985595, 0.6327]
190 [1.1002547357559205, 0.6467]
195 [1.111947611618042, 0.6436]
200 [1.0897340138435363, 0.6462]
205 [1.086411233139038, 0.6427]
210 [1.1244033411026002, 0.6278]
215 [1.128787763786316, 0.6305]
220 [1.1246726446151734, 0.6415]
225 [1.2812297380447388, 0.5875]
230 [1.2975796096801757, 0.6225]
235 [1.174859131526947, 0.6245]
240 [1.1242594203948975, 0.6404]
245 [1.1127075412750245, 0.6397]
250 [1.1783878425598144, 0.6245]
255 [1.1329943267822267, 0.6419]
260 [1.12205432472229, 0.6395]
265 [1.1446750148773193, 0.6285]
270 [1.1230883667945861, 0.6453]
275 [1.1839192337036133, 0.6434]
280 [1.1189083629608154, 0.6182]
285 [1.1631594305038453, 0.6471]
290 [1.2778517917633057, 0.6014]
295 [1.1304983330726623, 0.6427]
300 [1.139157654953003, 0.6445]
305 [1.0937338339805602, 0.6479]
310 [1.1639112615585328, 0.6276]
315 [1.1662261560440064, 0.6227]
320 [1.260082149887085, 0.6278]
325 [1.23600467338562, 0.6185]
330 [1.1128760829925537, 0.643]
335 [1.1940819850921631, 0.6359]
340 [1.1163828494071961, 0.6252]
345 [1.1571656143188476, 0.642]
350 [1.1151392433166505, 0.6454]
355 [1.2178203952789306, 0.6237]
360 [1.1989326421737672, 0.6426]
365 [1.2032505086898804, 0.6372]
370 [1.1500315648078918, 0.641]
375 [1.1398232192993165, 0.6221]
380 [1.2627077836990357, 0.6395]
385 [1.1620573915481567, 0.6263]
390 [1.1013233507156373, 0.626]
395 [1.26391096534729, 0.6357]
400 [1.20028473072052, 0.6409]
405 [1.1490015563011169, 0.6421]
410 [1.1566228895187378, 0.6238]
415 [1.1793216455459594, 0.5699]
420 [1.122438618183136, 0.6442]
425 [1.1529966771125792, 0.6446]
430 [1.1825543018341065, 0.6235]
435 [1.1708678639411927, 0.6393]
440 [1.1370984115600586, 0.6451]
445 [1.1703327877998353, 0.6255]
450 [1.1669261938095092, 0.6427]
455 [1.1351690119743347, 0.6432]
460 [1.2260891451835632, 0.643]
465 [1.254523825454712, 0.6442]
470 [1.1415388191223144, 0.6263]
475 [1.2639472301483154, 0.6324]
480 [1.2494913115501405, 0.6203]
485 [1.2814721883773803, 0.6439]
490 [1.1321949450492859, 0.6443]
495 [1.1435799940109252, 0.639]
500 [1.157302475643158, 0.6263]
